Tipo de flujo energético;Periodo;Total
Calor nuclear;1999;5.060,36
Calor nuclear;1998;5.072,48
Calor nuclear;1997;4.754,77
Calor nuclear;1996;4.843,51
Calor nuclear;1995;4.768,27
Calor nuclear;1994;4.756,06
Calor nuclear;1993;4.820,29
Calor nuclear;1992;4.796,39
Calor nuclear;1991;4.778,85
Calor nuclear;1990;4.666,21
